Grade Level,List number,Pattern Words,Review Words,Memory Words
2nd,1,ten,pattern_word,
2nd,1,drop,pattern_word,
2nd,1,man,pattern_word,
2nd,1,cut,pattern_word,
2nd,1,big,pattern_word,
2nd,1,men,pattern_word,
2nd,1,stop,pattern_word,
2nd,1,plan,pattern_word,
2nd,1,nut,pattern_word,
2nd,1,dig,pattern_word,
2nd,1,skip,pattern_word,
2nd,1,him,pattern_word,
2nd,1,hot,pattern_word,
2nd,1,trip,pattern_word,
2nd,1,swim,pattern_word,
2nd,1,spot,pattern_word,
2nd,1,are,review_word,
2nd,1,said,review_word,
2nd,2,best,memory_word,
2nd,2,fast,memory_word,
2nd,2,land,pattern_word,
2nd,2,went,pattern_word,
2nd,2,jump,pattern_word,
2nd,2,last,pattern_word,
2nd,2,sent,pattern_word,
2nd,2,rest,pattern_word,
2nd,2,hand,pattern_word,
2nd,2,camp,pattern_word,
2nd,2,test,pattern_word,
2nd,2,past,pattern_word,
2nd,2,stand,pattern_word,
2nd,2,stamp,pattern_word,
2nd,2,spent,pattern_word,
2nd,2,them,review_word,
2nd,2,this,review_word,
2nd,2,with,review_word,
2nd,3,then,pattern_word,
2nd,3,thing,pattern_word,
2nd,3,fish,pattern_word,
2nd,3,bath,pattern_word,
2nd,3,chin,pattern_word,
2nd,3,sing,pattern_word,
2nd,3,wish,pattern_word,
2nd,3,thing,pattern_word,
2nd,3,path,pattern_word,
2nd,3,when,pattern_word,
2nd,3,bring,pattern_word,
2nd,3,shop,pattern_word,
2nd,3,that,pattern_word,
2nd,3,chop,pattern_word,
2nd,3,than,pattern_word,
2nd,3,what,review_word,
2nd,3,where,review_word,
2nd,3,who,review_word,
2nd,4,will,pattern_word,
2nd,4,cliff,pattern_word,
2nd,4,less,pattern_word,
2nd,4,still,pattern_word,
2nd,4,class,pattern_word,
2nd,4,sniff,pattern_word,
2nd,4,well,pattern_word,
2nd,4,grass,pattern_word,
2nd,4,tell,pattern_word,
2nd,4,dress,pattern_word,
2nd,4,fuzz,pattern_word,
2nd,4,fell,pattern_word,
2nd,4,buzz,pattern_word,
2nd,4,fill,pattern_word,
2nd,4,smell,pattern_word,
2nd,4,if,review_word,
2nd,4,add,review_word,
2nd,4,egg,review_word,
2nd,5,rock,pattern_word,
2nd,5,back,pattern_word,
2nd,5,think,pattern_word,
2nd,5,clock,pattern_word,
2nd,5,ask,pattern_word,
2nd,5,thank,pattern_word,
2nd,5,black,pattern_word,
2nd,5,desk,pattern_word,
2nd,5,banl,pattern_word,
2nd,5,pink,pattern_word,
2nd,5,check,pattern_word,
2nd,5,truck,pattern_word,
2nd,5,mask,pattern_word,
2nd,5,sink,pattern_word,
2nd,5,blank,pattern_word,
2nd,5,will,review_word,
2nd,5,dress,review_word,
2nd,5,you,memory_word,
2nd,5,your,memory_word,
2nd,5,says,memory_word,
2nd,6,catch,pattern_word,
2nd,6,ranch,pattern_word,
2nd,6,switch,pattern_word,
2nd,6,lunch,pattern_word,
2nd,6,pinch,pattern_word,
2nd,6,match,pattern_word,
2nd,6,inch,pattern_word,
2nd,6,branch,pattern_word,
2nd,6,itch,pattern_word,
2nd,6,punch,pattern_word,
2nd,6,pitch,pattern_word,
2nd,6,bench,pattern_word,
2nd,6,patch,pattern_word,
2nd,6,crunch,pattern_word,
2nd,6,sketch,pattern_word,
2nd,6,check,review_word,
2nd,6,think,review_word,
2nd,6,do,memory_word,
2nd,6,does,memory_word,
2nd,6,done,memory_word,
2nd,7,made,pattern_word,
2nd,7,rain,pattern_word,
2nd,7,day,pattern_word,
