Grade Level,List number,Pattern Words,Review Words,Memory Words
3rd,1,milk,pattern_word,
3rd,1,ending,pattern_word,
3rd,1,facts,pattern_word,
3rd,1,must,pattern_word,
3rd,1,lifting,pattern_word,
3rd,1,next,pattern_word,
3rd,1,planted,pattern_word,
3rd,1,left,pattern_word,
3rd,1,tract,pattern_word,
3rd,1,gifts,pattern_word,
3rd,1,printing,pattern_word,
3rd,1,slept,pattern_word,
3rd,1,hunting,pattern_word,
3rd,1,melted,pattern_word,
3rd,1,kept,pattern_word,
3rd,1,listed,pattern_word,
3rd,1,grasping,pattern_word,
3rd,1,texting,pattern_word,
3rd,1,are,memory word,
3rd,1,our,memory word,
3rd,2,plane,pattern_word,
3rd,2,stays,pattern_word,
3rd,2,faith,pattern_word,
3rd,2,plain,pattern_word,
3rd,2,great,pattern_word,
3rd,2,paid,pattern_word,
3rd,2,great,pattern_word,
3rd,2,paid,pattern_word,
3rd,2,raise,pattern_word,
3rd,2,maybe,pattern_word,
3rd,2,praise,pattern_word,
3rd,2,break,pattern_word,
3rd,2,afraid,pattern_word,
3rd,2,sale,pattern_word,
3rd,2,grains,pattern_word,
3rd,2,taste,pattern_word,
3rd,2,landscape,pattern_word,
3rd,2,sailboat,pattern_word,
3rd,2,planted,pattern_word,
3rd,2,again,memory word,
3rd,2,against,memory word,
3rd,3,teeth,pattern_word,
3rd,3,leaf,pattern_word,
3rd,3,these,pattern_word,
3rd,3,wheels,pattern_word,
3rd,3,real,pattern_word,
3rd,3,fields,pattern_word,
3rd,3,streets,pattern_word,
3rd,3,please,pattern_word,
3rd,3,shield,pattern_word,
3rd,3,keeping,pattern_word,
3rd,3,peanuts,pattern_word,
3rd,3,asleep,pattern_word,
3rd,3,between,pattern_word,
3rd,3,leave,pattern_word,
3rd,3,dreaming,pattern_word,
3rd,3,weekend,pattern_word,
3rd,3,praise,review_word,
3rd,3,great,review_word,
3rd,3,once,memory word,
3rd,3,want,memory word,
3rd,4,miles,pattern_word,
3rd,4,high,pattern_word,
3rd,4,size,pattern_word,
3rd,4,quite,pattern_word,
3rd,4,while,pattern_word,
3rd,4,bright,pattern_word,
3rd,4,prizes,pattern_word,
3rd,4,sunrise,pattern_word,
3rd,4,sighed,pattern_word,
3rd,4,pies,pattern_word,
3rd,4,life,pattern_word,
3rd,4,necktie,pattern_word,
3rd,4,fireplace,pattern_word,
3rd,4,flight,pattern_word,
3rd,4,upright,pattern_word,
3rd,4,nighttime,pattern_word,
3rd,4,please,review_word,
3rd,4,between,review_word,
3rd,4,woman,memory word,
3rd,4,women,memory word,
3rd,5,road,pattern_word,
3rd,5,thrown,pattern_word,
3rd,5,those,pattern_word,
3rd,5,oatmeal,pattern_word,
3rd,5,throne,pattern_word,
3rd,5,owned,pattern_word,
3rd,5,rode,pattern_word,
3rd,5,window,pattern_word,
3rd,5,chose,pattern_word,
3rd,5,rowboat,pattern_word,
3rd,5,holes,pattern_word,
3rd,5,loaf,pattern_word,
3rd,5,homemade,pattern_word,
3rd,5,coach,pattern_word,
3rd,5,following,pattern_word,
3rd,5,while,review_word,
3rd,5,high,review_word,
3rd,5,always,memory word,
3rd,5,almost,memory word,
3rd,6,flute,pattern_word,
3rd,6,drew,pattern_word,
3rd,6,clues,pattern_word,
3rd,6,use,pattern_word,
3rd,6,chews,pattern_word,
3rd,6,smooth,pattern_word,
3rd,6,,pattern_word,
3rd,6,few,pattern_word,
3rd,6,choose,pattern_word,
3rd,6,fruit,pattern_word,
3rd,6,truth,pattern_word,
3rd,6,toothbrush,pattern_word,
3rd,6,balloons,pattern_word,
3rd,6,suitcase,pattern_word,
3rd,6,shampoo,pattern_word,
3rd,6,proofread,pattern_word,
3rd,6,those,review_word,
3rd,6,following,review_word,
3rd,6,who,memory word,
3rd,6,school,memory word,
3rd,7,than,pattern_word,
3rd,7,fresh,pattern_word,
3rd,7,much,pattern_word,
3rd,7,photos,pattern_word,
3rd,7,shall,pattern_word,
3rd,7,which,pattern_word,
3rd,7,phone,pattern_word,
3rd,7,then,pattern_word,
3rd,7,with,pattern_word,
3rd,7,stretching,pattern_word,
3rd,7,eggshell,pattern_word,
3rd,7,springtime,pattern_word,
3rd,7,graph,pattern_word,
3rd,7,switch,pattern_word,
3rd,7,paintbrush,pattern_word,
3rd,7,strength,pattern_word,
3rd,7,choose,review_word,
3rd,7,fruit,review_word,
3rd,7,nothing,memory word,
3rd,7,together,memory word,
3rd,8,grace,pattern_word,
3rd,8,fence,pattern_word,
3rd,8,cent,pattern_word,
3rd,8,piece,pattern_word,
3rd,8,since,pattern_word,
3rd,8,twice,pattern_word,
3rd,8,chases,pattern_word,
3rd,8,plus,pattern_word,
3rd,8,peace,pattern_word,
3rd,8,sense,pattern_word,
3rd,8,city,pattern_word,
3rd,8,loose,pattern_word,
3rd,8,juice,pattern_word,
3rd,8,price,pattern_word,
3rd,8,geese,pattern_word,
3rd,8,plates,pattern_word,
3rd,8,which,review_word,
3rd,8,phone,review_word,
3rd,8,straight,memory word,
3rd,8,neighbor,memory word,
