Grade Level,List number,Pattern Words,Review Words
5th,1,Pattern,
5th,1,Cleanse,
5th,1,Publish,
5th,1,Proverb,
5th,1,Spinach,
5th,1,Beyond,
5th,1,Insect,
5th,1,Attach,
5th,1,Result,
5th,1,Volume,
5th,1,Exist,
5th,1,Canvas,
5th,1,Event,
5th,1,Modern,
5th,1,Method,
5th,1,Fragment,
5th,1,Success,
5th,1,Adopt,
5th,1,Relax,
5th,1,Custom,
5th,1,Deliver,
5th,1,Expand,
5th,1,Convince,
5th,1,Camera,
5th,1,Shepherd,
5th,2,Define,
5th,2,Neighbor,
5th,2,Numeral,
5th,2,Poster,
5th,2,Costume,
5th,2,Explain,
5th,2,Approach,
5th,2,Desire,
5th,2,Bracelet,
5th,2,Pursue,
5th,2,Trombone,
5th,2,Survive,
5th,2,Refrain,
5th,2,rotate,
5th,2,reduce,
5th,2,recite,
5th,2,clothe,
5th,2,perfume,
5th,2,divine,
5th,2,maintain,
5th,2,attach,
5th,2,success,
5th,2,deliver,
5th,2,proverb,
5th,2,result,
5th,3,weave,
5th,3,receive,
5th,3,marine,
5th,3,yield,
5th,3,redeem,
5th,3,receipt,
5th,3,seedling,
5th,3,retrieve,
5th,3,seize,
5th,3,repeat,
5th,3,gasoline,
5th,3,neither,
5th,3,increase,
5th,3,diesel,
5th,3,routine,
5th,3,degree,
5th,3,deceive,
5th,3,nectarine,
5th,3,beneath,
5th,3,explain,
5th,3,desire,
5th,3,reduce,
5th,3,rotate,
5th,3,define,
5th,4,jewel,
5th,4,loyal,
5th,4,chowder,
5th,4,awesome,
5th,4,cocoon,
5th,4,hoist,
5th,4,applaud,
5th,4,rejoice,
5th,4,pronounce,
5th,4,saucer,
5th,4,soothe,
5th,4,coupon,
5th,4,caution,
5th,4,bassoin,
5th,4,auction,
5th,4,voyage,
5th,4,cougar,
5th,4,steward,
5th,4,destroy,
5th,4,awkward,
5th,4,repeat,
5th,4,yield,
5th,4,either,
5th,4,receive,
5th,4,gasoline,
5th,5,furnish,
5th,5,cashier,
5th,5,weary,
5th,5,purpose,
5th,5,rehearse,
5th,5,current,
5th,5,concern,
5th,5,nourish,
5th,5,alert,
5th,5,volunteer,
5th,5,deserve,
5th,5,murmur,
5th,5,virtue,
5th,5,further,
5th,5,reverse,
5th,5,flourish,
5th,5,observe,
5th,5,courtesy,
5th,5,herbal,
5th,5,frontier,
5th,5,,loyal
5th,5,,pronounce
5th,5,,jewel
5th,5,,caution
5th,5,,voyage
5th,6,sparrow,
5th,6,cherish,
5th,6,cherry,
5th,6,aware,
5th,6,armor,
5th,6,narrate,
5th,6,errand,
5th,6,perform,
5th,6,pardon,
5th,6,parent,
5th,6,beware,
5th,6,cargo,
5th,6,origin,
5th,6,garlic,
5th,6,clarinet,
5th,6,garnment,
5th,6,forward,
5th,6,perish,
5th,6,parallel,
5th,6,foreign,
5th,6,,concern
5th,6,,purpose
5th,6,,volunteer
5th,6,,observe
5th,6,,courtesy
5th,7,menu,
5th,7,offer,
5th,7,talent,
5th,7,gospel,
5th,7,body,
5th,7,distant,
5th,7,effort,
5th,7,compass,
5th,7,afford,
5th,7,comment,
5th,7,planet,
5th,7,contain,
5th,7,umpire,
5th,7,digit,
5th,7,cello,
5th,7,canyon,
5th,7,clever,
5th,7,attempt,
5th,7,refugee,
5th,7,ignore,
5th,7,,aware
5th,7,,forward
5th,7,,errand
5th,7,,garnment
5th,7,,clarinet
5th,8,solo,
5th,8,camera,
5th,8,eager,
5th,8,humid,
5th,8,solid,
5th,8,season,
5th,8,habit,
5th,8,beaver,
5th,8,topic,
5th,8,oboe,
5th,8,tuba,
5th,8,protien,
5th,8,legend,
5th,8,easel,
5th,8,clinic,
5th,8,legal,
5th,8,vanish,
5th,8,cheetah,
5th,8,pupil,
5th,8,cocoa,
5th,8,,effort
5th,8,,gospel
5th,8,,talent
5th,8,,attempt
5th,8,,refuge
5th,9,partner,
5th,9,explore,
5th,9,fabric,
5th,9,welcome,
5th,9,orchard,
5th,9,arctic,
5th,9,comfort,
5th,9,sculpture,
5th,9,pastor,
5th,9,necklace,
5th,9,target,
5th,9,although,
5th,9,constant,
5th,9,seldom,
5th,9,mushroom,
5th,9,admire,
5th,9,fortress,
5th,9,ostrich,
5th,9,portrait,
5th,9,textiles,
5th,9,,eager
5th,9,,topic
5th,9,,protien
5th,9,,legal
5th,9,,pupil
5th,10,completing,
5th,10,carried,
5th,10,scanned,
5th,10,risen,
5th,10,excelled,
5th,10,familes,
5th,10,compared,
5th,10,forgetting,
5th,10,abilites,
5th,10,including,
5th,10,icier,
5th,10,losing,
5th,10,replied,
5th,10,occupied,
5th,10,omitted,
5th,10,confused,
5th,10,earliest,
5th,10,perimitting,
5th,10,cities,
5th,10,donating,
5th,10,,although
5th,10,,seldom
5th,10,,pastor
5th,10,,constant
5th,10,,partner
5th,11,lifeguard,
5th,11,themselves,
5th,11,however,
5th,11,warm-blooded,
5th,11,everlasting,
5th,11,masterpiece,
5th,11,wheelchair,
5th,11,hands-on,
5th,11,steadfast,
5th,11,therefore,
5th,11,self-control,
5th,11,throughout,
5th,11,trustworthy,
5th,11,out-of-bounds,
5th,11,backward,
5th,11,gingerbread,
5th,11,well-known,
5th,11,waterproof,
5th,11,heavy-duty,
5th,11,headquarters,
5th,11,,abilities
5th,11,,losing
5th,11,,permitting
5th,11,,earliest
5th,11,,compared
5th,12,peer,
5th,12,coarse,
5th,12,muscle,
5th,12,present,
5th,12,morning,
5th,12,very,
5th,12,mussel,
5th,12,presence,
5th,12,pier,
5th,12,mourning,
5th,12,course,
5th,12,vary,
